Name,Country,Time,Place,Year
Tendai CHIMUSASA,ZIM,02:16:31.000,13,1996
Antonio PINTO,POR,02:16:41.000,14,1996
Dionicio CERON,MEX,02:16:48.000,15,1996
Willy KALOMBO,COD,02:17:01.000,16,1996
Leszek BEBLO,POL,02:17:04.000,17,1996
Alberto JUZDADO,ESP,02:17:24.000,18,1996
Hiromi TANIGUCHI,JPN,02:17:26.000,19,1996
Salvatore BETTIOL,ITA,02:17:27.000,20,1996
Peter FONSECA,CAN,02:17:28.000,21,1996
Rolando VERA,ECU,02:17:40.000,22,1996
Rod DE HIGHDEN,AUS,02:17:42.000,23,1996
Jose Luis MOLINA,CRC,02:17:49.000,24,1996
Domingos CASTRO,POR,02:18:03.000,25,1996
Tahar MANSOURI,TUN,02:18:06.000,26,1996
Lawrence PEU,RSA,02:18:09.000,27,1996
Keith BRANTLY,USA,02:18:17.000,28,1996
Thabiso RALEKHETLA,LES,02:18:26.000,29,1996
Hristo STEFANOV,BUL,02:18:29.000,30,1996
Robert KEMPAINEN,USA,02:18:38.000,31,1996
Harri Johannes HANNINEN,FIN,02:18:41.000,32,1996
Gert THYS,RSA,02:18:55.000,33,1996
Sean QUILTY,AUS,02:19:35.000,34,1996
Carey NELSON,CAN,02:19:39.000,35,1996
Spyridon ANDRIOPOULOS,GRE,02:19:41.000,36,1996
Oleg STRIZHAKOV,RUS,02:19:51.000,37,1996
Jung-Ok KIM,PRK,02:19:54.000,38,1996
Bruce DEACON,CAN,02:19:56.000,39,1996
Jong-Ok KIM,PRK,02:20:19.000,40,1996
Mark COOGAN,USA,02:20:27.000,41,1996
Hussein AHMED SALAH,DJI,02:20:33.000,42,1996
Petro SARAFYNIUK,UKR,02:20:37.000,43,1996
Abdel Kader EL-MOUAZIZ,MAR,02:20:39.000,44,1996
Albert VAN VLAANDEREN,NED,02:20:48.000,45,1996
Manuel MATIAS,POR,02:20:58.000,46,1996
Vanderlei DE LIMA,BRA,02:21:01.000,47,1996
Konrad Waldemar DOBLER,GER,02:21:12.000,48,1996
Borislav DEVIC,SCG,02:21:22.000,49,1996
Davide MILESI,ITA,02:21:45.000,50,1996
Aleksandrs PROKOPČUKS,LAT,02:21:50.000,51,1996
Lameck AGUTA,KEN,02:22:04.000,52,1996
Diego GARCIA,ESP,02:22:11.000,53,1996
Masaki OYA,JPN,02:22:13.000,54,1996
Peter WHITEHEAD,GBR,02:22:37.000,55,1996
Ezequiel BITOK,KEN,02:23:03.000,56,1996
Gi-Sheng HSU,TPE,02:23:04.000,57,1996
Pavel LOSKUTOV,EST,02:23:14.000,58,1996
Ruben MAZA,VEN,02:23:24.000,59,1996
Steve BRACE,GBR,02:23:28.000,60,1996
Grzegorz GAJDUS,POL,02:23:41.000,61,1996
Isaac SIMELANE,SWZ,02:23:43.000,62,1996
Nazirdin AKYLBEKOV,KGZ,02:23:59.000,63,1996
Anders SZALKAI,SWE,02:24:27.000,64,1996
John MWATHIWA,MAW,02:24:45.000,65,1996
Leonid SHVETSOV,RUS,02:24:49.000,66,1996
Eddy HELLEBUYCK,BEL,02:25:04.000,67,1996
Ahmed ADAM SALAH,SUD,02:25:12.000,68,1996
Ikaji SALIM,TAN,02:25:29.000,69,1996
Pavelas FEDORENKO,LTU,02:25:41.000,70,1996
Miguel MALLQUI,PER,02:25:56.000,71,1996
Ethel HUDSON,INA,02:26:02.000,72,1996
Diamantino DOS SANTOS,BRA,02:26:53.000,73,1996
Tika BOGATI,NEP,02:27:04.000,74,1996
Ronnie HOLASSIE,TTO,02:27:20.000,75,1996
Joseph TJITUNGA,NAM,02:27:52.000,76,1996
Valeri VLAS,MDA,02:28:36.000,77,1996
Daniel SIBANDZE,SWZ,02:28:49.000,78,1996
Waldemar COTELO,URU,02:28:50.000,79,1996
Petko STEFANOV,BUL,02:29:06.000,80,1996
Abebe MEKONNEN,ETH,02:29:45.000,81,1996
Luis MARTINEZ,GUA,02:29:55.000,82,1996
Sean WADE,NZL,02:30:35.000,83,1996
Abderrahim BENREDOUANE,MAR,02:30:49.000,84,1996
Abdou MANZO,NIG,02:30:57.000,85,1996
Marcelo BARRIENTOS,CHI,02:31:05.000,86,1996
Antoni BERNADO,AND,02:31:28.000,87,1996
Adel ADILI,LBA,02:32:12.000,88,1996
Carlos TARAZONA,VEN,02:32:35.000,89,1996
Tharcisse GASHAKA,BDI,02:32:55.000,90,1996
Policarpio CALIZAYA,BOL,02:33:08.000,91,1996
Simon QAMUNGA,TAN,02:33:11.000,92,1996
Kenjiro JITSUI,JPN,02:33:27.000,93,1996
Antonio Carlos ZEFERINO,CPV,02:34:13.000,94,1996
Pamenos Avorsant BALLANTYNE,VIN,02:34:16.000,95,1996
Kaleka MUTOKE,COD,02:34:40.000,96,1996
Ernest NDISSIPOU,CAF,02:35:55.000,97,1996
Ali ETTOUNSI,MAR,02:36:01.000,98,1996
William AGUIRRE,NCA,02:37:02.000,99,1996
Roy VENCE,PHI,02:37:10.000,100,1996
Mohamed BRAHIM,YEM,02:40:41.000,101,1996
Julio HERNANDEZ,COL,02:41:56.000,102,1996
Ajay CHUTTOO,MRI,02:42:07.000,103,1996
Nils ANTONIO,JAM,02:44:10.000,104,1996
Rithya TO,CAM,02:47:01.000,105,1996
Maximo OLIVERAS,PUR,02:47:15.000,106,1996
Islam DJUGUM,BIH,02:47:38.000,107,1996
Marlon Selwyn WILLIAMS,ISV,02:48:26.000,108,1996
Eugene MUSLAR,BIZ,02:51:41.000,109,1996
Abdi ISAK,SOM,02:59:55.000,110,1996
A Baser WASIQI,AFG,04:24:17.000,111,1996
Gezahegne ABERA,ETH,02:10:11.000,1,2000
Erick WAINAINA,KEN,02:10:31.000,2,2000
Tesfaye TOLA,ETH,02:11:10.000,3,2000
Jon BROWN,GBR,02:11:17.000,4,2000
Giacomo LEONE,ITA,02:12:14.000,5,2000
Martin FIZ,ESP,02:13:06.000,6,2000
Abdel Kader EL-MOUAZIZ,MAR,02:13:49.000,7,2000
Mohamed OUAADI,FRA,02:14:04.000,8,2000
Tendai CHIMUSASA,ZIM,02:14:19.000,9,2000
Stephen MONEGHETTI,AUS,02:14:50.000,10,2000
Antonio PINTO,POR,02:15:17.000,11,2000
Hendrick RAMAALA,RSA,02:16:19.000,12,2000
Kamiel MAASE,NED,02:16:24.000,13,2000
Silvio GUERRA,ECU,02:16:27.000,14,2000
Mathias NTAWULIKURA,RWA,02:16:39.000,15,2000
Thabiso Paul MOQHALI,LES,02:16:43.000,16,2000
Joao N'TYAMBA,ANG,02:16:43.000,17,2000
Domingos CASTRO,POR,02:16:52.000,18,2000
Keith CULLEN,GBR,02:16:59.000,19,2000
Josia THUGWANE,RSA,02:16:59.000,20,2000
Shinji KAWASHIMA,JPN,02:17:21.000,21,2000
Simretu ALEMAYEHU,ETH,02:17:21.000,22,2000
Kamal KOHIL,ALG,02:17:46.000,23,2000
Bong-Ju LEE,KOR,02:17:57.000,24,2000
Greg VAN HEST,NED,02:18:00.000,25,2000
Pavel KOKIN,RUS,02:18:02.000,26,2000
Andres ESPINOSA,MEX,02:18:02.000,27,2000
Rod DE HIGHDEN,AUS,02:18:04.000,28,2000
Jung-Ok KIM,PRK,02:18:04.000,29,2000
Jong Chol KIM,PRK,02:18:04.000,30,2000
Pamenos Avorsant BALLANTYNE,VIN,02:19:08.000,31,2000
Ronnie HOLASSIE,TTO,02:19:24.000,32,2000
Michael BUCHLEITNER,AUT,02:19:26.000,33,2000
Dmitriy KAPITONOV,RUS,02:19:38.000,34,2000
Pavel LOSKUTOV,EST,02:19:41.000,35,2000
Viktor ROTHLIN,SUI,02:20:06.000,36,2000
Michael FIETZ,GER,02:20:09.000,37,2000
Tahar MANSOURI,TUN,02:20:33.000,38,2000
Jose Luis MOLINA,CRC,02:20:37.000,39,2000
Carlos TARAZONA,VEN,02:20:39.000,40,2000
Nobuyuki SATO,JPN,02:20:52.000,41,2000
Alberto JUZDADO,ESP,02:21:18.000,42,2000
Johannes MAREMANE,RSA,02:21:25.000,43,2000
Bruce DEACON,CAN,02:21:38.000,44,2000
Nam-gyun JEONG,KOR,02:22:23.000,45,2000
Néstor GARCÍA,URU,02:22:30.000,46,2000
Ahmed SOLIMAN,EGY,02:22:47.000,47,2000
Lucketz SWARTBOOI,NAM,02:22:55.000,48,2000
Antoni BERNADO,AND,02:23:03.000,49,2000
Luis NOVO,POR,02:23:04.000,50,2000
Lucky Willie BHEMBE,SWZ,02:23:38.000,51,2000
Boubker ELAFOUI,MAR,02:23:53.000,52,2000
Abel ANTON RODRIGO,ESP,02:24:04.000,53,2000
Lothar Carsten EICH,GER,02:24:11.000,54,2000
Valeri VLAS,MDA,02:24:35.000,55,2000
Mark STEINLE,GBR,02:24:42.000,56,2000
Alex MALINGA,UGA,02:24:53.000,57,2000
Hernan Oscar CORTINEZ,ARG,02:25:01.000,58,2000
Jae Son KIL,PRK,02:25:13.000,59,2000
Petko STEFANOV,BUL,02:26:24.000,60,2000
Amnaay Zebedayo BAYO,TAN,02:26:24.000,61,2000
Roman KEJZAR,SLO,02:26:38.000,62,2000
Panagiotis CHARAMIS,GRE,02:26:55.000,63,2000
Benjamin PAREDES,MEX,02:27:17.000,64,2000
Seng-Do BAEK,KOR,02:28:25.000,65,2000
Lee TROOP,AUS,02:29:32.000,66,2000
Antonio Carlos ZEFERINO,CPV,02:29:46.000,67,2000
Sergey ZABAVSKIY,TJK,02:30:29.000,68,2000
Rod DEHAVEN,USA,02:30:46.000,69,2000
Nazirdin AKYLBEKOV,KGZ,02:31:26.000,70,2000
Calisto DA COSTA,IOA,02:33:11.000,71,2000
Marco Ivan CONDORI COLQUE,BOL,02:34:11.000,72,2000
Sarath Prasanna GAMAGE,SRI,02:34:39.000,73,2000
Gian Luigi MACINA,SMR,02:35:42.000,74,2000
Vanderlei DE LIMA,BRA,02:37:08.000,75,2000
Zeljko PETROVIC,BIH,02:38:29.000,76,2000
Tiyapo MASO,BOT,02:38:53.000,77,2000
Djuro KODZO,BIH,02:39:14.000,78,2000
Jose Alejandro SEMPRUN,VEN,03:00:02.000,79,2000
Rithya TO,CAM,03:03:56.000,80,2000
Elias RODRIQUEZ,FSM,03:09:14.000,81,2000
Stefano BALDINI,ITA,02:10:55.000,1,2004
Mebrahtom KEFLEZIGHI,USA,02:11:29.000,2,2004
Vanderlei DE LIMA,BRA,02:12:11.000,3,2004
Jon BROWN,GBR,02:12:26.000,4,2004
Shigeru ABURAYA,JPN,02:13:11.000,5,2004
Toshinari SUWA,JPN,02:13:24.000,6,2004
Erick WAINAINA,KEN,02:13:30.000,7,2004
Alberto CHAICA,POR,02:14:17.000,8,2004
Alberico DI CECCO,ITA,02:14:34.000,9,2004
Paul TERGAT,KEN,02:14:45.000,10,2004
Jaouad GHARIB,MAR,02:15:12.000,11,2004
Alan CULPEPPER,USA,02:15:26.000,12,2004
Leonid SHVETSOV,RUS,02:15:28.000,13,2004
Bong-Ju LEE,KOR,02:15:33.000,14,2004
Ambesse TOLOSA,ETH,02:15:39.000,15,2004
Gert THYS,RSA,02:16:08.000,16,2004
Young Joon JI,KOR,02:16:14.000,17,2004
Antoni PENA,ESP,02:16:38.000,18,2004
Georgiy ANDREYEV,RUS,02:16:55.000,19,2004
Haile SATAYIN,ISR,02:17:25.000,20,2004
Jonathan WYATT,NZL,02:17:45.000,21,2004
Janne HOLMEN,FIN,02:17:50.000,22,2004
Dan ROBINSON,GBR,02:17:53.000,23,2004
Nikolaos POLIAS,GRE,02:17:56.000,24,2004
Ndabili BASHINGILI,BOT,02:18:09.000,25,2004
Pavel LOSKUTOV,EST,02:18:09.000,26,2004
Jose RIOS,ESP,02:18:40.000,27,2004
Lee TROOP,AUS,02:18:46.000,28,2004
Michael BUCHLEITNER,AUT,02:19:19.000,29,2004
Anuradha COORAY,SRI,02:19:24.000,30,2004
Zhuhong LI,CHN,02:19:26.000,31,2004
Joachim NSHIMIRIMANA,BDI,02:19:31.000,32,2004
Dale WARRENDER,NZL,02:19:42.000,33,2004
Waldemar GLINKA,POL,02:19:43.000,34,2004
Myong Chol JONG,PRK,02:19:47.000,35,2004
El Hassan LAHSSINI,FRA,02:19:50.000,36,2004
Michal BARTOSZAK,POL,02:20:20.000,37,2004
Ahmed Jumaa JABER,QAT,02:20:27.000,38,2004
Ali Mabrouk EL ZAIDI,LBA,02:20:31.000,39,2004
Samson RAMADHANI,TAN,02:20:38.000,40,2004
Myongseung LEE,KOR,02:21:01.000,41,2004
Tomoaki KUNICHIKA,JPN,02:21:13.000,42,2004
Jose Alirio CARRASCO,COL,02:21:14.000,43,2004
Ernest NDISSIPOU,CAF,02:21:23.000,44,2004
Nicholas HARRISON,AUS,02:21:42.000,45,2004
Tereje WODAJO,ETH,02:21:53.000,46,2004
Aguelmis ROJAS,CUB,02:21:59.000,47,2004
Abel CHIMUKOKO,ZIM,02:22:09.000,48,2004
Said BELHOUT,ALG,02:22:32.000,49,2004
Matt O'DOWD,GBR,02:22:37.000,50,2004
Juan Carlos CARDONA,COL,02:22:49.000,51,2004
Daniele CAIMMI,ITA,02:23:07.000,52,2004
Joao N'TYAMBA,ANG,02:23:26.000,53,2004
Roman KEJZAR,SLO,02:23:34.000,54,2004
Procopio FRANCO,MEX,02:23:34.000,55,2004
Wen-Chien WU,TPE,02:23:54.000,56,2004
Antoni BERNADO,AND,02:23:55.000,57,2004
Julio REY,ESP,02:24:54.000,58,2004
Asaf BIMRO,ISR,02:25:20.000,59,2004
Sisay BEZABEH,AUS,02:25:26.000,60,2004
Silvio GUERRA,ECU,02:25:29.000,61,2004
Mathias NTAWULIKURA,RWA,02:26:05.000,62,2004
Robert STEFKO,CZE,02:27:12.000,63,2004
Jose Amado GARCIA,GUA,02:27:13.000,64,2004
Daniel BROWNE,USA,02:27:17.000,65,2004
Gang HAN,CHN,02:27:31.000,66,2004
Eduardo BUENAVISTA,PHI,02:28:18.000,67,2004
Driss EL HIMER,FRA,02:29:07.000,68,2004
Andres ESPINOSA,MEX,02:29:43.000,69,2004
Mpesela NTLOT SOEU,LES,02:30:19.000,70,2004
Franklin TENORIO,ECU,02:31:12.000,71,2004
Jose Ernani PALALIA,MEX,02:31:41.000,72,2004
Dmitriy BURMAKIN,RUS,02:31:51.000,73,2004
Mindaugas PUKSTAS,LTU,02:33:02.000,74,2004
Ser-Od BAT-OCHIR,MGL,02:33:24.000,75,2004
Ronghua ZHU,CHN,02:34:02.000,76,2004
Alfredo AREVALO,GUA,02:34:02.000,77,2004
Antonio Carlos ZEFERINO,CPV,02:36:22.000,78,2004
Valery PISAREV,KGZ,02:40:10.000,79,2004
Zepherinus JOSEPH,LCA,02:44:19.000,80,2004
Marcel MATANIN,SVK,02:50:26.000,81,2004
Samuel WANJIRU,KEN,02:06:32.000,1,2008
Jaouad GHARIB,MAR,02:07:16.000,2,2008
Tsegay KEBEDE,ETH,02:10:00.000,3,2008
Deriba MERGA,ETH,02:10:21.000,4,2008
Martin LEL,KEN,02:10:24.000,5,2008
Viktor ROTHLIN,SUI,02:10:35.000,6,2008
Gashaw ASFAW,ETH,02:10:52.000,7,2008
Yared ASMEROM,ERI,02:11:11.000,8,2008
Dathan RITZENHEIN,USA,02:11:59.000,9,2008
Ryan HALL,USA,02:12:33.000,10,2008
Mike FOKORONI,ZIM,02:13:17.000,11,2008
Stefano BALDINI,ITA,02:13:25.000,12,2008
Tsuyoshi OGATA,JPN,02:13:26.000,13,2008
Georgiy ANDREYEV,RUS,02:13:33.000,14,2008
Ruggero PERTILE,ITA,02:13:39.000,15,2008
Jose Manuel MARTINEZ,ESP,02:14:00.000,16,2008
Francis KIRWA,FIN,02:14:22.000,17,2008
Myongseung LEE,KOR,02:14:37.000,18,2008
Janne HOLMEN,FIN,02:14:44.000,19,2008
Abderrahim GOUMRI,MAR,02:15:00.000,20,2008
Alexey SOKOLOV,RUS,02:15:57.000,21,2008
Brian SELL,USA,02:16:07.000,22,2008
Ottaviano ANDRIANI,ITA,02:16:10.000,23,2008
Dan ROBINSON,GBR,02:16:14.000,24,2008
Haiyang DENG,CHN,02:16:17.000,25,2008
Abderrahime BOURAMDANE,MAR,02:17:42.000,26,2008
Vasyl MATVIYCHUK,UKR,02:17:50.000,27,2008
Bong-Ju LEE,KOR,02:17:56.000,28,2008
Oleg KULKOV,RUS,02:18:11.000,29,2008
Paulo GOMES,POR,02:18:15.000,30,2008
Alex MALINGA,UGA,02:18:26.000,31,2008
Carlos CORDERO,MEX,02:18:40.000,32,2008
Kum Song RI,PRK,02:19:08.000,33,2008
Henryk SZOST,POL,02:19:43.000,34,2008
Jose Amado GARCIA,GUA,02:20:15.000,35,2008
Yonas KIFLE,ERI,02:20:23.000,36,2008
Nasar Sakar SAEED,BRN,02:20:24.000,37,2008
Jose DE SOUSA,BRA,02:20:25.000,38,2008
Kamiel MAASE,NED,02:20:30.000,39,2008
Song-Chol PAK,PRK,02:21:16.000,40,2008
Iaroslav MUSINSCHI,MDA,02:21:18.000,41,2008
Il Nam KIM,PRK,02:21:51.000,42,2008
Juan Carlos CARDONA,COL,02:21:57.000,43,2008
Hendrick RAMAALA,RSA,02:22:43.000,44,2008
Arjun Kumar BASNET,NEP,02:23:09.000,45,2008
Helder ORNELAS,POR,02:23:20.000,46,2008
Procopio FRANCO,MEX,02:23:24.000,47,2008
Nelson CRUZ,CPV,02:23:47.000,48,2008
Roberto ECHEVERRIA,CHI,02:23:54.000,49,2008
Yi-Yong KIM,KOR,02:23:57.000,50,2008
Zhuhong LI,CHN,02:24:08.000,51,2008
Ser-Od BAT-OCHIR,MGL,02:24:19.000,52,2008
Norman DLOMO,RSA,02:24:28.000,53,2008
Arkadiusz SOWA,POL,02:24:48.000,54,2008
Samson RAMADHANI,TAN,02:25:03.000,55,2008
Ndabili BASHINGILI,BOT,02:25:11.000,56,2008
Simon MUNYUTU,FRA,02:25:50.000,57,2008
Antoni BERNADO,AND,02:26:29.000,58,2008
Wen-Chien WU,TPE,02:26:55.000,59,2008
Lee TROOP,AUS,02:27:17.000,60,2008
Constantino LEON,PER,02:28:04.000,61,2008
Goran STOJILJKOVIC,MNE,02:28:14.000,62,2008
Alfredo AREVALO,GUA,02:28:26.000,63,2008
Yousf Othman QADER,QAT,02:28:40.000,64,2008
Franklin TENORIO,ECU,02:29:05.000,65,2008
Francisco BAUTISTA,MEX,02:29:28.000,66,2008
Roman KEJZAR,SLO,02:29:37.000,67,2008
Joachim NSHIMIRIMANA,BDI,02:29:55.000,68,2008
Haile SATAYIN,ISR,02:30:07.000,69,2008
Takhir MAMASHAYEV,KAZ,02:30:26.000,70,2008
Abdil CEYLAN,TUR,02:31:43.000,71,2008
Jose RIOS,ESP,02:32:35.000,72,2008
Bunting HEM,CAM,02:33:32.000,73,2008
Marcel TSCHOPP,LIE,02:35:06.000,74,2008
Pavel LOSKUTOV,EST,02:39:01.000,75,2008
Atsushi SATO,JPN,02:41:08.000,76,2008
Stephen KIPROTICH,UGA,02:08:01.000,1,2012
Abel KIRUI,KEN,02:08:27.000,2,2012
Wilson Kipsang KIPROTICH,KEN,02:09:37.000,3,2012
Mebrahtom KEFLEZIGHI,USA,02:11:06.000,4,2012
Marilson DOS SANTOS,BRA,02:11:10.000,5,2012
Kentaro NAKAMOTO,JPN,02:11:16.000,6,2012
Cuthbert NYASANGO,ZIM,02:12:08.000,7,2012
Paulo Roberto PAULA,BRA,02:12:17.000,8,2012
Henryk SZOST,POL,02:12:28.000,9,2012
Ruggero PERTILE,ITA,02:12:45.000,10,2012
Viktor ROTHLIN,SUI,02:12:48.000,11,2012
Oleksandr SITKOVSKIY,UKR,02:12:56.000,12,2012
Franck DE ALMEIDA,BRA,02:13:35.000,13,2012
Aleksey REUNKOV,RUS,02:13:49.000,14,2012
Wirimai JUWAWO,ZIM,02:14:09.000,15,2012
Michael SHELLEY,AUS,02:14:10.000,16,2012
Emmanuel Kipchirchir MUTAI,KEN,02:14:49.000,17,2012
Rachid KISRI,MAR,02:15:09.000,18,2012
Yared ASMEROM,ERI,02:15:24.000,19,2012
Dylan WYKES,CAN,02:15:26.000,20,2012
Raul PACHECO,PER,02:15:35.000,21,2012
Eric GILLIS,CAN,02:16:00.000,22,2012
Dmitriy SAFRONOV,RUS,02:16:04.000,23,2012
Carles CASTILLEJO,ESP,02:16:17.000,24,2012
Iaroslav MUSINSCHI,MDA,02:16:25.000,25,2012
Marius IONESCU,ROU,02:16:28.000,26,2012
Reid COOLSAET,CAN,02:16:29.000,27,2012
Martin DENT,AUS,02:16:29.000,28,2012
Vitaliy SHAFAR,UKR,02:16:36.000,29,2012
Lee MERRIEN,GBR,02:17:00.000,30,2012
Ignacio CACERES,ESP,02:17:11.000,31,2012
Duhaeng LEE,KOR,02:17:19.000,32,2012
Faustine MUSSA,TAN,02:17:39.000,33,2012
Jose Carlos HERNANDEZ,ESP,02:17:48.000,34,2012
Miguel BARZOLA,ARG,02:17:54.000,35,2012
Urige BUTA,NOR,02:17:58.000,36,2012
Georgiy ANDREYEV,RUS,02:18:20.000,37,2012
Jose Amado GARCIA,GUA,02:18:23.000,38,2012
Daniel VARGAS,MEX,02:18:26.000,39,2012
Ryo YAMAMOTO,JPN,02:18:34.000,40,2012
Jesper FAURSCHOU,DEN,02:18:44.000,41,2012
Kari Steinn KARLSSON,ISL,02:18:47.000,42,2012
Lusapho APRIL,RSA,02:19:00.000,43,2012
Mike TEBULO,MAW,02:19:11.000,44,2012
Arata FUJIWARA,JPN,02:19:11.000,45,2012
Primoz KOBE,SLO,02:19:28.000,46,2012
Guor MARIAL,IOA,02:19:32.000,47,2012
Luis FEITEIRA,POR,02:19:40.000,48,2012
Stephen MOKOKA,RSA,02:19:52.000,49,2012
Miguel Angel ALMACHI,ECU,02:19:53.000,50,2012
Ser-Od BAT-OCHIR,MGL,02:20:10.000,51,2012
Song-Chol PAK,PRK,02:20:20.000,52,2012
Kwang-Hyok KIM,PRK,02:20:20.000,53,2012
Guojian DONG,CHN,02:20:39.000,54,2012
Anuradha COORAY,SRI,02:20:41.000,55,2012
Methkal ABU DRAIS,JOR,02:21:00.000,56,2012
Mark KENNEALLY,IRL,02:21:13.000,57,2012
Yonas KIFLE,ERI,02:21:25.000,58,2012
Ivan BABARYKA,UKR,02:21:52.000,59,2012
Carlos CORDERO,MEX,02:22:08.000,60,2012
Scott OVERALL,GBR,02:22:37.000,61,2012
Pedro MORA,VEN,02:22:40.000,62,2012
Jeff HUNT,AUS,02:22:59.000,63,2012
Stsiapan RAHAUTSOU,BLR,02:23:23.000,64,2012
Cesar LIZANO,CRC,02:24:16.000,65,2012
Samson RAMADHANI,TAN,02:24:53.000,66,2012
Jan KREISINGER,CZE,02:25:03.000,67,2012
Mohammed Abduh BAKHET,QAT,02:25:17.000,68,2012
Jussi UTRIAINEN,FIN,02:26:25.000,69,2012
Arturo MALAQUIAS,MEX,02:26:37.000,70,2012
Wissem HOSNI,TUN,02:26:43.000,71,2012
Tamas KOVACS,HUN,02:27:48.000,72,2012
Sinkweon JANG,KOR,02:28:20.000,73,2012
Antoni BERNADO,AND,02:28:34.000,74,2012
Marcel TSCHOPP,LIE,02:28:54.000,75,2012
Bekir KARAYEL,TUR,02:29:38.000,76,2012
Chia-Che CHANG,TPE,02:29:58.000,77,2012
Ram Singh YADAV,IND,02:30:06.000,78,2012
Jean Pierre MVUYEKURE,RWA,02:30:19.000,79,2012
Konstadinos POULIOS,GRE,02:33:17.000,80,2012
Zohar ZEMIRO,ISR,02:34:59.000,81,2012
Jinhyeok JEONG,KOR,02:38:45.000,82,2012
Juan Carlos CARDONA,COL,02:40:13.000,83,2012
Augusto SOARES,TLS,02:45:09.000,84,2012
Tsepo MATHIBELLE,LES,02:55:54.000,85,2012
Eliud KIPCHOGE,KEN,02:08:44.000,1,2016
Feyisa LILESA,ETH,02:09:54.000,2,2016
Galen RUPP,USA,02:10:05.000,3,2016
Ghirmay GHEBRESLASSIE,ERI,02:11:04.000,4,2016
Alphonce Felix SIMBU,TAN,02:11:15.000,5,2016
Jared WARD,USA,02:11:30.000,6,2016
Tadesse ABRAHAM,SUI,02:11:42.000,7,2016
Munyo Solomon MUTAI,UGA,02:11:49.000,8,2016
Callum HAWKINS,GBR,02:11:52.000,9,2016
Eric GILLIS,CAN,02:12:29.000,10,2016
Abdi NAGEEYE,NED,02:13:01.000,11,2016
Mumin GALA,DJI,02:13:04.000,12,2016
Lemi BERHANU,ETH,02:13:29.000,13,2016
Stephen KIPROTICH,UGA,02:13:32.000,14,2016
Paulo Roberto PAULA,BRA,02:13:56.000,15,2016
Satoru SASAKI,JPN,02:13:57.000,16,2016
Kaan Kigen OZBILEN,TUR,02:14:11.000,17,2016
Byron PIEDRA,ECU,02:14:12.000,18,2016
Sondre Nordstad MOEN,NOR,02:14:17.000,19,2016
Oleksandr SITKOVSKIY,UKR,02:14:24.000,20,2016
Amanuel MESEL,ERI,02:14:37.000,21,2016
Koen NAERT,BEL,02:14:53.000,22,2016
Reid COOLSAET,CAN,02:14:58.000,23,2016
Lusapho APRIL,RSA,02:15:24.000,24,2016
Thanackal GOPI,IND,02:15:25.000,25,2016
Kheta RAM,IND,02:15:26.000,26,2016
Chol PAK,PRK,02:15:27.000,27,2016
Evans Kiplagat BARKOWET,AZE,02:15:31.000,28,2016
Guojian DONG,CHN,02:15:32.000,29,2016
Ihor OLEFIRENKO,UKR,02:15:36.000,30,2016
Liam ADAMS,AUS,02:16:12.000,31,2016
Paul POLLOCK,IRL,02:16:24.000,32,2016
Mebrahtom KEFLEZIGHI,USA,02:16:46.000,33,2016
Anuradha COORAY,SRI,02:17:06.000,34,2016
Abdi Hakin ULAD,DEN,02:17:06.000,35,2016
Suehiro ISHIKAWA,JPN,02:17:08.000,36,2016
Marius IONESCU,ROU,02:17:27.000,37,2016
Ruggero PERTILE,ITA,02:17:30.000,38,2016
Artur KOZLOWSKI,POL,02:17:34.000,39,2016
Nicolas CUESTAS,URU,02:17:44.000,40,2016
Pardon NDHLOVU,ZIM,02:17:48.000,41,2016
Victor ARAVENA,CHI,02:17:49.000,42,2016
Saidi Juma MAKULA,TAN,02:17:49.000,43,2016
Florent CAELEN,BEL,02:17:59.000,44,2016
Raul MACHACUAY,PER,02:18:00.000,45,2016
Richer PEREZ,CUB,02:18:05.000,46,2016
Michael SHELLEY,AUS,02:18:06.000,47,2016
Ihor RUSS,UKR,02:18:19.000,48,2016
Carles CASTILLEJO,ESP,02:18:34.000,49,2016
Ernesto Andres ZAMORA,URU,02:18:36.000,50,2016
Ercan MUSLU,TUR,02:18:40.000,51,2016
Cristhian PACHECO,PER,02:18:41.000,52,2016
Mariano MASTROMARINO,ARG,02:18:44.000,53,2016
Daniel VARGAS,MEX,02:18:51.000,54,2016
Philipp PFLIEGER,GER,02:18:56.000,55,2016
Willem VAN SCHUERBEECK,BEL,02:18:56.000,56,2016
Stefano LA ROSA,ITA,02:18:57.000,57,2016
Cuthbert NYASANGO,ZIM,02:18:58.000,58,2016
Marilson DOS SANTOS,BRA,02:19:09.000,59,2016
Tewelde ESTIFANOS,ERI,02:19:12.000,60,2016
Roman FOSTI,EST,02:19:26.000,61,2016
Atef SAAD,TUN,02:19:50.000,62,2016
Tiidrek NURME,EST,02:20:01.000,63,2016
Kevin SEAWARD,IRL,02:20:06.000,64,2016
Jesus ESPANA,ESP,02:20:08.000,65,2016
Raul PACHECO,PER,02:20:13.000,66,2016
Juan Carlos TRUJILLO,GUA,02:20:24.000,67,2016
Stsiapan RAHAUTSOU,BLR,02:20:34.000,68,2016
Mynhardt Mbeumuna KAWANIVI,NAM,02:20:45.000,69,2016
Julian FLUGEL,GER,02:20:47.000,70,2016
Daviti KHARAZISHVILI,GEO,02:20:47.000,71,2016
Rachid KISRI,MAR,02:21:00.000,72,2016
